,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2013-02-10,55.0,20,0,65,43,72,85,44,79,76,78,67,56,100,92
1,2013-02-17,54.5,14,0,64,42,74,89,60,79,73,80,60,68,33,79
2,2013-02-24,52.5,20,0,67,40,72,85,67,76,75,86,50,67,66,89
3,2013-03-03,53.99,12,0,51,43,65,61,46,74,55,71,63,63,20,77
4,2013-03-10,55.0,12,0,70,38,81,71,71,87,77,88,71,83,82,88
5,2013-03-17,51.94,10,22,68,41,83,67,62,86,80,81,88,77,79,89
6,2013-03-24,49.48,12,0,65,42,97,81,63,94,84,89,71,77,55,88
7,2013-03-31,48.5,6,0,71,42,73,72,79,88,84,81,59,100,69,85
8,2013-04-07,45.45,5,0,71,43,84,71,78,83,84,89,62,95,47,92
9,2013-04-14,43.38,17,53,72,41,90,67,68,83,100,83,56,82,67,95
10,2013-04-21,44.69,18,0,68,43,90,59,84,84,83,91,43,67,61,95
11,2013-04-28,44.98,17,0,51,37,66,50,50,71,59,58,36,57,53,56
12,2013-05-05,48.6,6,0,53,36,60,48,45,68,62,60,49,68,52,56
13,2013-05-12,50.09,11,0,79,39,92,62,76,83,72,85,57,62,0,77
14,2013-05-19,52.51,16,43,71,40,100,60,73,84,70,83,40,53,42,97
15,2013-05-26,53.37,12,71,65,42,87,44,71,83,84,86,44,52,47,73
16,2013-06-02,53.53,9,0,65,38,77,44,74,85,74,84,66,47,0,81
17,2013-06-09,51.56,0,0,62,39,71,45,87,75,71,79,56,47,71,75
18,2013-06-16,49.78,18,32,51,39,72,55,53,84,69,77,54,61,42,70
19,2013-06-23,53.21,8,37,40,38,59,32,42,80,52,69,50,92,58,64
20,2013-06-30,53.89,0,0,32,39,45,39,34,79,56,67,85,100,32,68
21,2013-07-07,53.9,6,84,23,37,34,34,21,79,48,67,58,69,51,73
22,2013-07-14,53.85,8,0,23,38,40,33,33,83,40,67,47,57,72,65
23,2013-07-21,54.43,8,0,23,39,49,31,21,81,49,64,85,51,22,77
24,2013-07-28,59.0,8,0,26,44,40,38,24,74,44,68,62,50,0,65
25,2013-08-04,56.1,10,100,23,40,48,50,26,75,43,69,61,47,0,63
26,2013-08-11,56.2,0,0,24,43,38,43,29,99,51,73,72,53,26,64
27,2013-08-18,57.3,5,0,24,40,49,39,30,79,49,77,62,48,0,67
28,2013-08-25,61.0,11,0,26,40,44,55,29,78,46,67,51,56,30,56
29,2013-09-01,64.87,4,0,65,42,58,68,41,84,49,73,66,65,16,63
30,2013-09-08,64.82,4,0,76,46,59,77,38,74,55,79,70,73,48,76
31,2013-09-15,63.25,13,0,82,46,70,82,49,92,58,79,61,57,58,85
32,2013-09-22,60.64,16,0,77,50,67,75,55,82,60,79,81,53,32,80
33,2013-09-29,65.86,34,34,70,53,67,79,53,83,68,84,79,51,47,98
34,2013-10-06,67.5,52,30,76,48,69,80,67,83,76,87,73,51,34,89
35,2013-10-13,68.1,100,58,81,54,77,78,76,83,75,85,82,52,54,95
36,2013-10-20,66.0,45,0,77,52,78,84,65,88,83,79,65,58,50,93
37,2013-10-27,61.4,15,31,73,55,76,87,64,78,71,86,92,51,18,86
38,2013-11-03,61.45,25,0,59,54,71,89,54,82,65,90,84,50,0,80
39,2013-11-10,64.92,18,36,74,58,79,91,72,81,91,92,81,54,51,88
40,2013-11-17,67.15,24,63,76,57,92,89,73,83,82,100,75,49,65,96
41,2013-11-24,67.0,24,0,83,67,90,79,83,100,89,93,76,49,66,93
42,2013-12-01,63.3,28,37,87,76,78,69,83,87,78,88,68,53,88,95
43,2013-12-08,63.8,11,0,93,78,79,71,100,87,81,91,64,60,83,92
44,2013-12-15,63.09,11,0,100,89,91,65,91,91,98,83,70,55,89,95
45,2013-12-22,64.26,14,0,91,100,77,55,88,97,89,84,100,56,48,92
46,2013-12-29,65.0,6,0,26,55,32,37,30,56,44,51,65,45,0,34
47,2014-01-05,65.39,0,73,31,38,59,69,17,61,83,55,29,36,24,48
48,2014-01-12,64.26,53,0,47,37,82,86,25,65,99,69,24,41,0,71
49,2014-01-19,62.45,30,49,44,39,84,85,24,61,97,66,26,45,50,79
50,2014-01-26,61.43,42,0,40,40,84,80,28,61,86,57,25,42,12,73
51,2014-02-02,63.5,63,0,40,38,64,80,25,60,78,50,22,45,47,73
52,2014-02-09,65.0,45,0,44,42,70,76,33,63,78,62,27,41,40,70
53,2014-02-16,65.23,54,0,46,40,78,72,24,60,75,59,23,57,68,71
54,2014-02-23,64.0,53,0,50,42,77,68,26,58,93,60,26,68,88,100
55,2014-03-02,57.0,98,0,46,54,64,56,23,58,76,52,26,100,43,89
56,2014-03-09,48.84,70,65,58,42,80,66,18,61,87,58,27,78,73,85
57,2014-03-16,55.53,71,0,54,47,89,62,22,61,81,64,24,76,45,91
58,2014-03-23,58.23,52,0,42,40,76,63,21,64,89,63,25,49,78,80
59,2014-03-30,58.6,23,0,51,43,98,74,29,62,92,61,23,64,35,93
60,2014-04-06,61.67,54,0,53,43,88,79,28,61,98,58,26,80,65,85
61,2014-04-13,57.0,58,84,51,41,100,74,28,61,88,62,16,77,12,79
62,2014-04-20,53.9,25,46,46,38,82,62,27,63,85,59,19,67,53,75
63,2014-04-27,53.59,36,0,36,36,71,55,16,55,66,45,16,64,100,57
64,2014-05-04,58.03,47,100,38,39,73,48,19,55,66,45,18,80,46,66
65,2014-05-11,58.21,30,0,54,39,91,70,28,60,81,59,16,61,37,84
66,2014-05-18,62.0,66,0,52,38,94,61,25,63,91,63,21,58,42,94
67,2014-05-25,65.75,20,0,47,39,84,58,22,63,81,63,18,52,36,79
68,2014-06-01,65.34,25,0,40,40,86,32,21,61,80,53,18,44,45,74
69,2014-06-08,65.65,16,0,37,38,70,47,23,58,73,55,15,44,61,57
70,2014-06-15,68.31,45,0,35,40,75,41,16,62,68,57,19,46,0,72
71,2014-06-22,66.17,22,56,31,42,64,42,12,60,76,57,15,46,26,69
72,2014-06-29,64.54,27,0,21,39,51,37,12,59,63,53,20,41,26,57
73,2014-07-06,62.12,26,0,20,40,54,44,8,65,58,54,17,41,0,54
74,2014-07-13,60.93,62,0,18,39,51,35,9,58,55,48,17,46,0,60
75,2014-07-20,58.7,41,0,17,41,45,36,9,66,47,56,18,47,0,59
76,2014-07-27,57.48,42,0,17,41,51,35,11,63,48,54,19,60,15,55
77,2014-08-03,58.5,69,0,20,42,39,35,11,64,45,55,19,58,19,72
78,2014-08-10,60.6,42,0,18,40,47,42,10,60,46,54,21,46,0,59
79,2014-08-17,64.25,44,54,18,43,42,44,9,60,51,53,26,41,0,59
80,2014-08-24,63.5,45,0,21,44,42,49,9,59,50,50,23,53,0,55
81,2014-08-31,64.22,58,0,41,47,53,57,13,57,60,55,22,43,17,63
82,2014-09-07,61.95,89,67,59,48,64,71,16,61,62,64,20,42,21,68
83,2014-09-14,59.58,32,0,58,47,66,78,22,62,70,62,22,41,32,71
84,2014-09-21,59.98,29,0,53,49,83,80,18,61,78,68,26,39,30,68
85,2014-09-28,59.0,47,0,54,53,70,76,23,63,66,74,22,34,59,74
86,2014-10-05,58.7,30,0,55,52,70,77,23,62,75,76,24,42,60,85
87,2014-10-12,58.9,49,0,54,52,85,80,26,65,76,78,23,39,19,81
88,2014-10-19,58.2,20,0,57,55,83,82,18,65,81,74,25,42,62,80
89,2014-10-26,58.0,43,0,51,57,80,81,25,64,77,72,28,44,45,85
90,2014-11-02,59.28,37,52,38,58,67,93,26,63,72,69,39,40,46,56
91,2014-11-09,57.6,18,54,53,57,95,100,39,70,94,74,35,47,41,91
92,2014-11-16,63.5,100,0,56,61,88,98,34,70,89,74,29,58,47,86
93,2014-11-23,59.83,37,51,62,69,93,95,40,74,99,86,30,46,16,97
94,2014-11-30,62.37,56,81,65,74,86,82,46,70,93,84,44,61,51,83
95,2014-12-07,61.97,51,0,74,83,92,78,57,77,98,86,50,51,92,83
